categoria,tipo,bairro,cidade,endereco,valor,dia/mes,metragem,quartos,banheiros,vagas,link,timestamp
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,1320,dia,95,3,1,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-95m2-id-2752017337/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,1500,dia,88,3,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-88m2-id-2747958571/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Dourados,13000,mês,90,2,3,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-jurere-internacional-florianopolis-90m2-id-2708756244/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,14500,mês,100,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-100m2-id-2723943447/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Rua dos Amborés,16800,mês,252,5,5,4,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-5-quartos-mobiliado-jurere-internacional-florianopolis-252m2-id-2754463007/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Passagem das Guaiviras,720,dia,45,1,1,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-jurere-internacional-florianopolis-45m2-id-2765400552/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,25000,mês,150,3,4,2,,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Dourados,14550,mês,105,2,2,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-jurere-internacional-florianopolis-105m2-id-2736224676/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Lagostas,12500,mês,135,3,4,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-135m2-id-2490686181/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Lagostas,12500,mês,138,3,4,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-138m2-id-2531973005/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,13000,mês,105,2,1,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-jurere-internacional-florianopolis-105m2-id-2737919117/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,15000,mês,150,3,4,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-jurere-internacional-florianopolis-150m2-id-2533362679/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Rua das Piraúnas,9400,mês,105,2,1,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-105m2-id-2735219749/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,,18000,mês,290,3,4,3,https://www.zapimoveis.com.br/imovel/aluguel-cobertura-3-quartos-mobiliado-jurere-internacional-florianopolis-290m2-id-2626971179/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,1000,dia,113,3,3,1,https://www.zapimoveis.com.br/imovel/aluguel-cobertura-3-quartos-mobiliado-jurere-internacional-florianopolis-113m2-id-2736464128/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,,12500,mês,450,3,3,0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-jurere-internacional-florianopolis-450m2-id-2746054312/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,11000,mês,113,3,4,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-113m2-id-2635580155/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,11000,mês,89,3,3,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-89m2-id-2752531196/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,1000,dia,63,1,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-jurere-internacional-florianopolis-63m2-id-2563800538/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,11000,mês,87,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-87m2-id-2443695903/,2024-12-20 20:09:54
