titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Campeche, Florianópolis",R$ 3.500/mês,65 m²,2,1,1,Rua Tenente Orlando Bastos Schroder,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-quintal-campeche-florianopolis-65m2-id-2761894819/,aluguel,casa,2024-12-24 18:36:09
"Santo Antônio de Lisboa, Florianópolis",R$ 19.000/mês,229 m²,5,5,4,Rua Deputado Walter Gomes,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-5-quartos-mobiliado-santo-antonio-de-lisboa-florianopolis-229m2-id-2715314190/,aluguel,casa,2024-12-24 18:36:09
"Ribeirão da Ilha, Florianópolis",R$ 3.300/mês,66 m²,2,1,1,Rua Ingá Mirim,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-2-quartos-com-churrasqueira-ribeirao-da-ilha-florianopolis-66m2-id-2737693715/,aluguel,casa,2024-12-24 18:36:09
"Ribeirão da Ilha, Florianópolis",R$ 440/dia,100 m²,2,2,2,Servidão Caiacanga,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-mobiliado-ribeirao-da-ilha-florianopolis-100m2-id-2747233349/,aluguel,casa,2024-12-24 18:36:09
"Campeche, Florianópolis",R$ 770/dia,99 m²,2,2,1,Avenida Pequeno Príncipe,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-mobiliado-campeche-florianopolis-99m2-id-2756567819/,aluguel,casa,2024-12-24 18:36:09
"Campeche, Florianópolis",R$ 5.200/mês,60 m²,2,3,1,Servidão das Águias,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-ar-condicionado-campeche-florianopolis-60m2-id-2765711030/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 2.600/dia,258 m²,4,5,2,Rua das Guaracemas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-258m2-id-2657449884/,aluguel,casa,2024-12-24 18:36:09
"Campeche, Florianópolis",R$ 4.000/mês,120 m²,2,2,1,Rua das Garças,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-cozinha-campeche-florianopolis-120m2-id-2765734521/,aluguel,casa,2024-12-24 18:36:09
"Coloninha, Florianópolis",R$ 6.300/mês,250 m²,3,3,4,Rua Maestro Álvaro Souza,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-coloninha-florianopolis-250m2-id-2750331958/,aluguel,casa,2024-12-24 18:36:09
"Cachoeira do Bom Jesus, Florianópolis",R$ 6.200/mês,120 m²,3,3,2,Rua da Quaresmeira Roxa,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-3-quartos-cachoeira-do-bom-jesus-florianopolis-120m2-id-2748598503/,aluguel,casa,2024-12-24 18:36:09
"Jurerê, Florianópolis",R$ 1.500/dia,250 m²,4,4,4,Rodovia Tertuliano Brito Xavier,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-florianopolis-250m2-id-2491197600/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 1.290/dia,350 m²,4,4,4,Rua das Palombetas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-350m2-id-2664872307/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 2.450/dia,10 m²,4,4,2,Rua das Guaracemas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-10m2-id-2514582613/,aluguel,casa,2024-12-24 18:36:09
"Ribeirão da Ilha, Florianópolis",R$ 4.800/mês,104 m²,3,2,1,Servidão Maria Ramos Ouriques,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-cozinha-ribeirao-da-ilha-florianopolis-104m2-id-2753174413/,aluguel,casa,2024-12-24 18:36:09
"Morro das Pedras, Florianópolis",R$ 1.500/dia,230 m²,3,5,2,Rua dos Laranjais,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-morro-das-pedras-florianopolis-230m2-id-2749364068/,aluguel,casa,2024-12-24 18:36:09
"Trindade, Florianópolis",R$ 3.700/mês,85 m²,2,1,1,Rua Laércio Costa,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-trindade-florianopolis-85m2-id-2762012219/,aluguel,casa,2024-12-24 18:36:09
"Santo Antônio de Lisboa, Florianópolis",R$ 9.500/mês,129 - 206 m²,2 - 3,1 - 4,1 - 3,Rua de Pádua,,aluguel,casa,2024-12-24 18:36:09
"Santo Antônio de Lisboa, Florianópolis",R$ 9.500/mês,129 - 206 m²,2 - 3,1 - 4,1 - 3,Rua de Pádua,,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 4.000/dia,380 m²,5,5,2,Rua das Garoupas,https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-jurere-internacional-florianopolis-380m2-id-2753710710/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 4.000/dia,450 m²,4,5,4,Rua dos Bagres,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-450m2-id-1041324656/,aluguel,casa,2024-12-24 18:36:09
"Centro, Florianópolis",R$ 3.100/mês,120 m²,3,2,2,Rua General Rosinha,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-centro-florianopolis-120m2-id-2750092448/,aluguel,casa,2024-12-24 18:36:09
"Carianos, Florianópolis",R$ 3.100/mês,83 m²,2,2,1,Rua Fermino Hemenegildo dos Santos,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-carianos-florianopolis-83m2-id-2760010807/,aluguel,casa,2024-12-24 18:36:09
"Ribeirão da Ilha, Florianópolis",R$ 5.000/mês,110 m²,3,3,2,Rua João Agostinho Vieira,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-piscina-ribeirao-da-ilha-florianopolis-110m2-id-2761894914/,aluguel,casa,2024-12-24 18:36:09
"Jurerê, Florianópolis",R$ 1.950/dia,10 m²,3,3,2,Rua Jorge Cherem,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-jurere-florianopolis-10m2-id-2515151607/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 4.500/dia,647 - 700 m²,6,3 - 8,6 - 8,Rua dos Camuris,,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 4.500/dia,647 - 700 m²,6,3 - 8,6 - 8,Rua dos Camuris,,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 2.300/dia,350 m²,4,4,2,Avenida dos Salmões,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-350m2-id-1040124843/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 3.500/dia,250 m²,4,5,2,Rua das Piraúnas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-250m2-id-2657449889/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 18.000/mês,312 m²,3,4,4,Avenida dos Búzios,,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 18.000/mês,312 m²,3,4,4,Avenida dos Búzios,,aluguel,casa,2024-12-24 18:36:09
"Ingleses do Rio Vermelho, Florianópolis",R$ 3.500/dia,350 m²,5,3,5,Servidão Domingos Serafim dos Santos,https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-350m2-id-2659152506/,aluguel,casa,2024-12-24 18:36:09
