titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Cachoeira do Bom Jesus, Florianópolis",R$ 6.200/mês,120 m²,3,3,2,Rua da Quaresmeira Roxa,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-3-quartos-cachoeira-do-bom-jesus-florianopolis-120m2-id-2748598503/,aluguel,casa,2024-12-26 01:40:10
"Balneário, Florianópolis",R$ 4.200/mês,104 m²,2,2,2,Rua Santa Tereza,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-balneario-florianopolis-104m2-id-2760206618/,aluguel,casa,2024-12-26 01:40:10
"São João do Rio Vermelho, Florianópolis",R$ 2.100/mês,50 m²,1,1,2,,https://www.zapimoveis.com.br/imovel/aluguel-casa-1-quarto-mobiliado-sao-joao-do-rio-vermelho-florianopolis-50m2-id-2763201639/,aluguel,casa,2024-12-26 01:40:10
"Ribeirão da Ilha, Florianópolis",R$ 3.300/mês,89 m²,2,2,1,Rua Ingá Mirim,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-ribeirao-da-ilha-florianopolis-89m2-id-2760030973/,aluguel,casa,2024-12-26 01:40:10
"Balneário, Florianópolis",R$ 15.000/mês,320 m²,5,4,6,Rua Abelardo Luz,https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-mobiliado-balneario-florianopolis-320m2-id-2759767849/,aluguel,casa,2024-12-26 01:40:10
"Jurerê, Florianópolis",R$ 3.500/dia,350 m²,6,7,2,Rua dos Cambuatas,https://www.zapimoveis.com.br/imovel/aluguel-casa-6-quartos-mobiliado-jurere-florianopolis-350m2-id-2657449892/,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 3.600/dia,250 m²,2,3,4,Servidão Beatriz Rosa Coutinho,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-mobiliado-jurere-internacional-florianopolis-250m2-id-2657450868/,aluguel,casa,2024-12-26 01:40:10
"Coloninha, Florianópolis",R$ 1.900/mês,52 m²,2,1,1,Rua Luiz Gonzaga Valente,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-coloninha-florianopolis-52m2-id-2763209928/,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 1.600/dia,350 m²,4,3,2,Rua dos Corais,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-350m2-id-2657449425/,aluguel,casa,2024-12-26 01:40:10
"Cachoeira do Bom Jesus, Florianópolis",R$ 1.800/dia,153 m²,3,2,1,Avenida Luiz Boiteux Piazza,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-3-quartos-cachoeira-do-bom-jesus-florianopolis-153m2-id-2765008980/,aluguel,casa,2024-12-26 01:40:10
"Canasvieiras, Florianópolis",R$ 3.520/dia,450 m²,5,2,3,Rua do Lamim,https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-mobiliado-canasvieiras-florianopolis-450m2-id-2657449421/,aluguel,casa,2024-12-26 01:40:10
"Vargem Grande, Florianópolis",R$ 2.800/mês,80 m²,2,2,1,Rua João Pacheco,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-2-quartos-vargem-grande-florianopolis-80m2-id-2765010224/,aluguel,casa,2024-12-26 01:40:10
"Lagoa da Conceição, Florianópolis",R$ 16.000/mês,195 m²,3,4,2,Rua Laurindo Januário da Silveira,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-3-quartos-mobiliado-lagoa-da-conceicao-florianopolis-195m2-id-2754827411/,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 1.800/dia,300 m²,4,5,3,Rua das Guarajubas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-com-ar-condicionado-jurere-internacional-florianopolis-300m2-id-2479517452/,aluguel,casa,2024-12-26 01:40:10
"Ingleses do Rio Vermelho, Florianópolis",R$ 1.100/dia,120 m²,3,3,2,Servidão Fermino Manoel Zeferino,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-3-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-120m2-id-2646151354/,aluguel,casa,2024-12-26 01:40:10
"Santo Antônio de Lisboa, Florianópolis",R$ 4.000/mês,109 m²,2,2,2,Rua Teodoro Manoel Dias,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-santo-antonio-de-lisboa-florianopolis-109m2-id-2764134817/,aluguel,casa,2024-12-26 01:40:10
"Ingleses do Rio Vermelho, Florianópolis",R$ 1.100/dia,220 m²,3,3,3,,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-3-quartos-ingleses-do-rio-vermelho-florianopolis-220m2-id-2755077631/,aluguel,casa,2024-12-26 01:40:10
"Ribeirão da Ilha, Florianópolis",R$ 16.500/mês,380 m²,3,4,6,Rodovia Baldicero Filomeno,,aluguel,casa,2024-12-26 01:40:10
"Ribeirão da Ilha, Florianópolis",R$ 16.500/mês,380 m²,3,4,6,Rodovia Baldicero Filomeno,,aluguel,casa,2024-12-26 01:40:10
"Rio Tavares, Florianópolis",R$ 3.000/mês,60 m²,2,1,2,Servidão Emília Custódia Vieira,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-rio-tavares-florianopolis-60m2-id-2765708426/,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 3.500/dia,450 m²,4,5,2,Rua das Guaracemas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-450m2-id-2657449419/,aluguel,casa,2024-12-26 01:40:10
"Canasvieiras, Florianópolis",R$ 1.100/dia,155 m²,4,4,4,Rua Rodolfo Hickel,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-4-quartos-mobiliado-canasvieiras-florianopolis-155m2-id-2639502357/,aluguel,casa,2024-12-26 01:40:10
"Córrego Grande, Florianópolis",R$ 16.000/mês,350 m²,6,4,2,Rua Professor Walter de Bona Castelan,https://www.zapimoveis.com.br/imovel/aluguel-casa-6-quartos-com-piscina-corrego-grande-florianopolis-350m2-id-2737848046/,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 2.600/dia,258 m²,4,5,2,Rua das Guaracemas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-258m2-id-2657449884/,aluguel,casa,2024-12-26 01:40:10
